source_code,source_concept_id,source_vocabulary_id,source_code_type,source_code_description,source_name_eng,target_concept_name,target_concept_code,target_concept_id,target_vocabulary_id,target_domain,target_concept_class_id,updated_date,valid_end_date
apa,0,None,language,Apatši keeled,Apache languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
ara,0,None,language,Araabia,Arabic,Main spoken language Arabic,315566006,4153313,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
arc,0,None,language,Aramea,Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE),,No matching concept,0,None,,,2024-06-04,2099-12-31
arg,0,None,language,Aragoni,Aragonese,Main spoken language Aragonese,809341000000106,44805848,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
arm,0,None,language,Armeenia,Armenian,Main spoken language Armenian,698885002,44782878,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
arn,0,None,language,Mapudunguni,Mapudungun; Mapuche,,No matching concept,0,None,,,2024-06-04,2099-12-31
arp,0,None,language,Arapaho,Arapaho,,No matching concept,0,None,,,2024-06-04,2099-12-31
art,0,None,language,Tehiskeeled,Artificial languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
arw,0,None,language,Aravaki,Arawak,,No matching concept,0,None,,,2024-06-04,2099-12-31
asm,0,None,language,Assami,Assamese,Main spoken language Assamese,698886001,44784344,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ast,0,None,language,Astuuria,Asturian; Bable; Leonese; Asturleonese,,No matching concept,0,None,,,2024-06-04,2099-12-31
aze,0,None,language,Aserbaidžaani,Azerbaijani,Main spoken language Azerbaijani,698888000,44782880,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ath,0,None,language,Atapaski keeled,Athapascan languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
aus,0,None,language,Austraalia keeled,Australian languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
ava,0,None,language,Avaari,Avaric,Main spoken language Avaric,970441000000105,46285397,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ave,0,None,language,Avesta,Avestan,Main spoken language Avestan,970451000000108,46285398,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
awa,0,None,language,Avadhi,Awadhi,,No matching concept,0,None,,,2024-06-04,2099-12-31
aym,0,None,language,Aimaraa,Aymara,Main spoken language Aymara,698887005,44782879,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
bad,0,None,language,Banda keeled,Banda languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
bai,0,None,language,Bamileke keeled,Bamileke languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
bak,0,None,language,Baškiiri,Bashkir,Main spoken language Bashkir,698889008,44784436,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
bal,0,None,language,Belutši,Baluchi,,No matching concept,0,None,,,2024-06-04,2099-12-31
bam,0,None,language,Bambara,Bambara,Main spoken language Bambara,970461000000106,46285399,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ban,0,None,language,Bali,Balinese,,No matching concept,0,None,,,2024-06-04,2099-12-31
baq,0,None,language,Baski,Basque,Main spoken language Basque,698654008,44784498,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
bas,0,None,language,Basaa,Basa,,No matching concept,0,None,,,2024-06-04,2099-12-31
bat,0,None,language,Balti keeled,Baltic languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
bej,0,None,language,Bedža,Beja; Bedawiyet,,No matching concept,0,None,,,2024-06-04,2099-12-31
bel,0,None,language,Valgevene,Belarusian,Main spoken language Belarusian,698655009,44784499,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
bem,0,None,language,Bemba,Bemba,,No matching concept,0,None,,,2024-06-04,2099-12-31
ben,0,None,language,Bengali,Bengali,Main spoken language Bengali,315567002,4153314,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ber,0,None,language,Berberi keeled,Berber languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
bho,0,None,language,Bhodžpuri,Bhojpuri,,No matching concept,0,None,,,2024-06-04,2099-12-31
bih,0,None,language,Bihaari keeled,Bihari languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
bik,0,None,language,Bikoli,Bikol,,No matching concept,0,None,,,2024-06-04,2099-12-31
bin,0,None,language,Edo,Bini; Edo,,No matching concept,0,None,,,2024-06-04,2099-12-31
bis,0,None,language,Bislama,Bislama,Main spoken language Bislama,698890004,44782881,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
bla,0,None,language,Mustjalaindiaani,Siksika,,No matching concept,0,None,,,2024-06-04,2099-12-31
bnt,0,None,language,Bantu keeled,Bantu languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
bos,0,None,language,Bosnia,Bosnian,Main spoken language Bosnian,970471000000104,46287222,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
bra,0,None,language,Bradži,Braj,,No matching concept,0,None,,,2024-06-04,2099-12-31
bre,0,None,language,Bretooni,Breton,Main spoken language Breton,698657001,44784500,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
btk,0,None,language,Bataki keeled,Batak languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
bua,0,None,language,Burjaadi,Buriat,,No matching concept,0,None,,,2024-06-04,2099-12-31
bug,0,None,language,Bugi,Buginese,,No matching concept,0,None,,,2024-06-04,2099-12-31
bul,0,None,language,Bulgaaria,Bulgarian,Main spoken language Bulgarian,699945003,44783940,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
bur,0,None,language,Birma,Burmese,Main spoken language Burmese,698891000,44782882,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
byn,0,None,language,Bilini,Blin; Bilin,,No matching concept,0,None,,,2024-06-04,2099-12-31
cad,0,None,language,Kado,Caddo,,No matching concept,0,None,,,2024-06-04,2099-12-31
cai,0,None,language,Kesk-Ameerika indiaani keeled,Central American Indian languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
car,0,None,language,Kariibi,Galibi Carib,,No matching concept,0,None,,,2024-06-04,2099-12-31
cat,0,None,language,Katalaani,Catalan; Valencian,Main spoken language Catalan,698892007,44784437,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
cau,0,None,language,Kaukaasia keeled,Caucasian languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
ceb,0,None,language,Sebu,Cebuano,,No matching concept,0,None,,,2024-06-04,2099-12-31
cel,0,None,language,Keldi keeled,Celtic languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
cha,0,None,language,Tšamorro,Chamorro,Main spoken language Chamorro,970481000000102,46285400,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
chb,0,None,language,Tšibtša,Chibcha,,No matching concept,0,None,,,2024-06-04,2099-12-31
che,0,None,language,Tšetšeeni,Chechen,Main spoken language Chechen,970491000000100,46287100,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
chg,0,None,language,Tšagatai,Chagatai,,No matching concept,0,None,,,2024-06-04,2099-12-31
chi,0,None,language,Hiina,Chinese,Main spoken language Chinese,970501000000106,46285401,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
chk,0,None,language,Tšuugi,Chuukese,,No matching concept,0,None,,,2024-06-04,2099-12-31
chm,0,None,language,Mari,Mari,,No matching concept,0,None,,,2024-06-04,2099-12-31
chn,0,None,language,Tšinuki žargoon,Chinook jargon,,No matching concept,0,None,,,2024-06-04,2099-12-31
cho,0,None,language,Tšokto,Choctaw,,No matching concept,0,None,,,2024-06-04,2099-12-31
chp,0,None,language,Dene,Chipewyan; Dene Suline,,No matching concept,0,None,,,2024-06-04,2099-12-31
chr,0,None,language,Tšerokii,Cherokee,,No matching concept,0,None,,,2024-06-04,2099-12-31
chu,0,None,language,Kirikuslaavi,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,Main spoken language Church Slavic,970511000000108,46285402,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
chv,0,None,language,Tšuvaši,Chuvash,Main spoken language Chuvash,970521000000102,46287223,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
chy,0,None,language,Šaieeni,Cheyenne,,No matching concept,0,None,,,2024-06-04,2099-12-31
cmc,0,None,language,Tšaami keeled,Chamic languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
cnr,0,None,language,Montenegro,Montenegrin,,No matching concept,0,None,,,2024-06-04,2099-12-31
cop,0,None,language,Kopti,Coptic,,No matching concept,0,None,,,2024-06-04,2099-12-31
cor,0,None,language,Korni,Cornish,Main spoken language Cornish,970531000000100,46285403,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
cos,0,None,language,Korsika,Corsican,Main spoken language Corsican,698658006,44784501,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
cpe,0,None,language,Inglispõhjalised kreool- ja pidžinkeeled,"Creoles and pidgins, English based",,No matching concept,0,None,,,2024-06-04,2099-12-31
cpf,0,None,language,Prantsuspõhjalised kreool- ja pidžinkeeled,"Creoles and pidgins, French-based",Main spoken language French Créole,408521009,4256744,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
cpp,0,None,language,Portugalipõhjalised kreool- ja pidžinkeeled,"Creoles and pidgins, Portuguese-based",,No matching concept,0,None,,,2024-06-04,2099-12-31
cre,0,None,language,Krii,Cree,Main spoken language Cree,970541000000109,46285404,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
crh,0,None,language,Krimmitatari,Crimean Tatar; Crimean Turkish,,No matching concept,0,None,,,2024-06-04,2099-12-31
crp,0,None,language,Kreool- ja pidžinkeeled,Creoles and pidgins,,No matching concept,0,None,,,2024-06-04,2099-12-31
csb,0,None,language,Kašuubi,Kashubian,,No matching concept,0,None,,,2024-06-04,2099-12-31
cze,0,None,language,Tšehhi,Czech,Main spoken language Czech,315569004,4153316,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
cus,0,None,language,Kuši keeled,Cushitic languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
dak,0,None,language,Dakota,Dakota,,No matching concept,0,None,,,2024-06-04,2099-12-31
dan,0,None,language,Taani,Danish,Main spoken language Danish,698894008,44782884,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
dar,0,None,language,Dargi,Dargwa,,No matching concept,0,None,,,2024-06-04,2099-12-31
day,0,None,language,Sisemaadajaki keeled,Land Dayak languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
del,0,None,language,Delavari,Delaware,,No matching concept,0,None,,,2024-06-04,2099-12-31
den,0,None,language,Sleivi,Slave (Athapascan),,No matching concept,0,None,,,2024-06-04,2099-12-31
dgr,0,None,language,Dogribi,Dogrib,,No matching concept,0,None,,,2024-06-04,2099-12-31
din,0,None,language,Dinka,Dinka,,No matching concept,0,None,,,2024-06-04,2099-12-31
div,0,None,language,Maldiivi,Divehi; Dhivehi; Maldivian,Main spoken language Dhivehi,970551000000107,46285405,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
doi,0,None,language,Dogri,Dogri,,No matching concept,0,None,,,2024-06-04,2099-12-31
dra,0,None,language,Draviidi keeled,Dravidian languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
dsb,0,None,language,Alamsorbi,Lower Sorbian,,No matching concept,0,None,,,2024-06-04,2099-12-31
dzo,0,None,language,Dzongkha,Dzongkha,Main spoken language Jonkha,698895009,44784529,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
dua,0,None,language,Duala,Duala,,No matching concept,0,None,,,2024-06-04,2099-12-31
dum,0,None,language,Keskhollandi (u 1050–1350),"Dutch, Middle (ca.1050-1350)",,No matching concept,0,None,,,2024-06-04,2099-12-31
dut,0,None,language,Hollandi,Dutch; Flemish,Main spoken language Dutch,408528003,4235407,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
dyu,0,None,language,Djula,Dyula,,No matching concept,0,None,,,2024-06-04,2099-12-31
efi,0,None,language,Efiki,Efik,,No matching concept,0,None,,,2024-06-04,2099-12-31
egy,0,None,language,Egiptuse,Egyptian (Ancient),,No matching concept,0,None,,,2024-06-04,2099-12-31
eka,0,None,language,Ekadžuki,Ekajuk,,No matching concept,0,None,,,2024-06-04,2099-12-31
elx,0,None,language,Eelami,Elamite,,No matching concept,0,None,,,2024-06-04,2099-12-31
eng,0,None,language,Inglise,English,Main spoken language English,315570003,4151757,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
enm,0,None,language,Keskinglise (1100–1500),"English, Middle (1100-1500)",,No matching concept,0,None,,,2024-06-04,2099-12-31
epo,0,None,language,Esperanto,Esperanto,Main spoken language Esperanto,698896005,44782885,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
eso,0,None,language,Eesti viipekeel,Estonian Sign Language,Estonian sign language,704547004,45767210,SNOMED,Language,Qualifier Value,2024-06-04,2099-12-31
eso,0,None,language,Eesti viipekeel,Estonian Sign Language,Main spoken language Estonian,698659003,44784502,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
est,0,None,language,Eesti,Estonian,Main spoken language Estonian,698659003,44784502,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ewe,0,None,language,Eve,Ewe,Main spoken language Ewe,970561000000105,46285406,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ewo,0,None,language,Evondo,Ewondo,,No matching concept,0,None,,,2024-06-04,2099-12-31
fan,0,None,language,Fangi,Fang,,No matching concept,0,None,,,2024-06-04,2099-12-31
fao,0,None,language,Fääri,Faroese,Main spoken language Faroese,698660008,44782487,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
fat,0,None,language,Fanti,Fanti,,No matching concept,0,None,,,2024-06-04,2099-12-31
fij,0,None,language,Fidži,Fijian,Main spoken language Fijian,698897001,44782886,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
fil,0,None,language,Filipiini,Filipino; Pilipino,Main spoken language Filipino,503511000000100,44802637,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
fin,0,None,language,Soome,Finnish,Main spoken language Finnish,414640006,4189332,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
fiu,0,None,language,Soome-ugri keeled,Finno-Ugrian languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
fon,0,None,language,Foni,Fon,,No matching concept,0,None,,,2024-06-04,2099-12-31
fre,0,None,language,Prantsuse,French,Main spoken language French,315571004,4153317,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
frm,0,None,language,Keskprantsuse (1400–1600),"French, Middle (ca.1400-1600)",,No matching concept,0,None,,,2024-06-04,2099-12-31
fro,0,None,language,Vanaprantsuse (842 – u 1400),"French, Old (842-ca.1400)",,No matching concept,0,None,,,2024-06-04,2099-12-31
frr,0,None,language,Põhjafriisi,Northern Frisian,,No matching concept,0,None,,,2024-06-04,2099-12-31
frs,0,None,language,Idafriisi,Eastern Frisian,,No matching concept,0,None,,,2024-06-04,2099-12-31
fry,0,None,language,Friisi,Western Frisian,Main spoken language Western Frisian,971041000000105,46285433,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ful,0,None,language,Fula,Fulah,Main spoken language Fulani,729051000000103,44803535,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
fur,0,None,language,Friuuli,Friulian,,No matching concept,0,None,,,2024-06-04,2099-12-31
gaa,0,None,language,Gaa,Ga,,No matching concept,0,None,,,2024-06-04,2099-12-31
gag,0,None,language,Gagauusi,Gagauz,,No matching concept,0,None,,,2024-06-04,2099-12-31
gay,0,None,language,Gajo,Gayo,,No matching concept,0,None,,,2024-06-04,2099-12-31
gba,0,None,language,Gbaja,Gbaya,,No matching concept,0,None,,,2024-06-04,2099-12-31
gem,0,None,language,Germaani keeled,Germanic languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
geo,0,None,language,Gruusia,Georgian,Main spoken language Georgian,698898006,44782887,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ger,0,None,language,Saksa,German,Main spoken language German,407643006,4253310,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
gez,0,None,language,Geezi,Geez,,No matching concept,0,None,,,2024-06-04,2099-12-31
gil,0,None,language,Kiribati,Gilbertese,,No matching concept,0,None,,,2024-06-04,2099-12-31
gla,0,None,language,Gaeli,Gaelic; Scottish Gaelic,Main spoken language Scottish Gaelic,970941000000103,46285426,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
gle,0,None,language,Iiri,Irish,Main spoken language Irish,698667006,44784507,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
glg,0,None,language,Galeegi,Galician,Main spoken language Galician,698662000,44782488,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
glv,0,None,language,Mänksi,Manx,Main spoken language Manx,970741000000100,46287102,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
gmh,0,None,language,Keskülemsaksa (u 1050–1500),"German, Middle High (ca.1050-1500)",,No matching concept,0,None,,,2024-06-04,2099-12-31
goh,0,None,language,Vanaülemsaksa (u 750–1050),"German, Old High (ca.750-1050)",,No matching concept,0,None,,,2024-06-04,2099-12-31
gon,0,None,language,Gondi,Gondi,,No matching concept,0,None,,,2024-06-04,2099-12-31
gor,0,None,language,Gorontalo,Gorontalo,,No matching concept,0,None,,,2024-06-04,2099-12-31
got,0,None,language,Gooti,Gothic,,No matching concept,0,None,,,2024-06-04,2099-12-31
grb,0,None,language,Grebo,Grebo,,No matching concept,0,None,,,2024-06-04,2099-12-31
grc,0,None,language,Vanakreeka (1453. a-ni),"Greek, Ancient (to 1453)",,No matching concept,0,None,,,2024-06-04,2099-12-31
gre,0,None,language,Kreeka (pärast 1453. a),"Greek, Modern (1453-)",Main spoken language Greek,407652002,4253312,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
grn,0,None,language,Guaranii,Guarani,Main spoken language Guarani,698899003,44784530,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
gsw,0,None,language,Alemanni,Swiss German; Alemannic; Alsatian,,No matching concept,0,None,,,2024-06-04,2099-12-31
guj,0,None,language,Gudžarati,Gujarati,Main spoken language Gujerati,315572006,4152248,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
gwi,0,None,language,Gvitšini,Gwich'in,,No matching concept,0,None,,,2024-06-04,2099-12-31
hai,0,None,language,Haida,Haida,,No matching concept,0,None,,,2024-06-04,2099-12-31
hat,0,None,language,Haiti,Haitian; Haitian Creole,Main spoken language Haitian,970601000000105,46287224,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
hau,0,None,language,Hausa,Hausa,Main spoken language Hausa,315574007,4152249,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
haw,0,None,language,Havai,Hawaiian,,No matching concept,0,None,,,2024-06-04,2099-12-31
hbo,0,None,language,Vanaheebrea keel,Ancient Hebrew,,No matching concept,0,None,,,2024-06-04,2099-12-31
hbs,0,None,language,Serbia-horvaadi,Serbo-Croatian,Main spoken language Serbian,408535006,4256749,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
heb,0,None,language,Heebrea,Hebrew,Main spoken language Hebrew,408524001,4235406,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
her,0,None,language,Herero,Herero,Main spoken language Herero,970611000000107,46285407,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
hil,0,None,language,Hiligainoni,Hiligaynon,,No matching concept,0,None,,,2024-06-04,2099-12-31
him,0,None,language,Himatšali keeled,Himachali languages; Western Pahari languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
hin,0,None,language,Hindi,Hindi,Main spoken language Hindi,315575008,4154081,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
hit,0,None,language,Heti,Hittite,,No matching concept,0,None,,,2024-06-04,2099-12-31
hmn,0,None,language,Hmongi,Hmong; Mong,,No matching concept,0,None,,,2024-06-04,2099-12-31
hmo,0,None,language,Hirimotu,Hiri Motu,Main spoken language Hiri Motu,970621000000101,46285408,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
hrv,0,None,language,Horvaadi,Croatian,Main spoken language Croatian,407650005,4250123,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
hsb,0,None,language,Ülemsorbi,Upper Sorbian,,No matching concept,0,None,,,2024-06-04,2099-12-31
hun,0,None,language,Ungari,Hungarian,Main spoken language Hungarian,698900008,44782888,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
hup,0,None,language,Hupa,Hupa,,No matching concept,0,None,,,2024-06-04,2099-12-31
iba,0,None,language,Ibani,Iban,,No matching concept,0,None,,,2024-06-04,2099-12-31
ibo,0,None,language,Ibo,Igbo,Main spoken language Igbo,408514009,4256642,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ice,0,None,language,Islandi,Icelandic,Main spoken language Icelandic,698663005,44784504,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ido,0,None,language,Ido,Ido,Main spoken language Ido,970631000000104,46287101,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
iii,0,None,language,Nuosu,Sichuan Yi; Nuosu,Main spoken language Nuosu,970961000000102,46285427,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ijo,0,None,language,Idžo keeled,Ijo languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
iku,0,None,language,Inuktituti,Inuktitut,Main spoken language Inuktitut,698665003,44782489,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ile,0,None,language,Interlingue,Interlingue; Occidental,Main spoken language Occidental,698902000,44782890,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ilo,0,None,language,Iloko,Iloko,,No matching concept,0,None,,,2024-06-04,2099-12-31
ils,0,None,language,Rahvusvaheline viipekeel,International Sign Language,,No matching concept,0,None,,,2024-06-04,2099-12-31
ina,0,None,language,Interlingua,Interlingua (International Auxiliary Language Association),Main spoken language Interlingua,698664004,44784505,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
inc,0,None,language,India keeled,Indic languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
ind,0,None,language,Indoneesia,Indonesian,Main spoken language Indonesian,698901007,44782889,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ine,0,None,language,Indoeuroopa keeled,Indo-European languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
inh,0,None,language,Inguši,Ingush,,No matching concept,0,None,,,2024-06-04,2099-12-31
ipk,0,None,language,Injupiaki,Inupiaq,Main spoken language Inupiaq,698666002,44784506,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ira,0,None,language,Iraani keeled,Iranian languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
iro,0,None,language,Irokeesi keeled,Iroquoian languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
izh,0,None,language,Isuri,Ingrian,,No matching concept,0,None,,,2024-06-04,2099-12-31
ita,0,None,language,Itaalia,Italian,Main spoken language Italian,407642001,4233047,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
jav,0,None,language,Jaava,Javanese,Main spoken language Javanese,698903005,44782891,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
jbo,0,None,language,Ložban,Lojban,,No matching concept,0,None,,,2024-06-04,2099-12-31
jpn,0,None,language,Jaapani,Japanese,Main spoken language Japanese,407654001,4236302,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
jpr,0,None,language,Juudipärsia,Judeo-Persian,,No matching concept,0,None,,,2024-06-04,2099-12-31
jrb,0,None,language,Juudiaraabia,Judeo-Arabic,,No matching concept,0,None,,,2024-06-04,2099-12-31
kaa,0,None,language,Karakalpaki,Kara-Kalpak,,No matching concept,0,None,,,2024-06-04,2099-12-31
kab,0,None,language,Kabiili,Kabyle,,No matching concept,0,None,,,2024-06-04,2099-12-31
kac,0,None,language,Katšini,Kachin; Jingpho,,No matching concept,0,None,,,2024-06-04,2099-12-31
kal,0,None,language,Grööni,Kalaallisut; Greenlandic,Main spoken language Kalaallisut,698904004,44782902,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
kam,0,None,language,Kamba,Kamba,,No matching concept,0,None,,,2024-06-04,2099-12-31
kan,0,None,language,Kannada,Kannada,Main spoken language Kanarese,698905003,44782892,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
kar,0,None,language,Kareni keeled,Karen languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
kas,0,None,language,Kašmiiri,Kashmiri,Main spoken language Kashmiri,698906002,44782893,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
kaz,0,None,language,Kasahhi,Kazakh,Main spoken language Kazakh,698668001,44784508,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
kau,0,None,language,Kanuri,Kanuri,Main spoken language Kanuri,970641000000108,46285409,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
kaw,0,None,language,Kaavi,Kawi,,No matching concept,0,None,,,2024-06-04,2099-12-31
kbd,0,None,language,Kabardi-tšerkessi,Kabardian,,No matching concept,0,None,,,2024-06-04,2099-12-31
kha,0,None,language,Khasi,Khasi,,No matching concept,0,None,,,2024-06-04,2099-12-31
khi,0,None,language,Khoisani keeled,Khoisan languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
khm,0,None,language,Khmeeri,Central Khmer,Main spoken language Central Khmer,698893002,44782883,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
kho,0,None,language,Saka,Khotanese; Sakan,,No matching concept,0,None,,,2024-06-04,2099-12-31
kik,0,None,language,Kikuju,Kikuyu; Gikuyu,Main spoken language Kikuyu,729061000000100,44803536,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
kin,0,None,language,Ruanda,Kinyarwanda,Main spoken language Ruanda,698907006,44782894,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
kir,0,None,language,Kirgiisi,Kirghiz; Kyrgyz,Main spoken language Kirgiz,698908001,44782903,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
kjh,0,None,language,Hakassi,Khakas,,No matching concept,0,None,,,2024-06-04,2099-12-31
kmb,0,None,language,Mbundu,Kimbundu,,No matching concept,0,None,,,2024-06-04,2099-12-31
koi,0,None,language,Permikomi,Komi-Permyak,,No matching concept,0,None,,,2024-06-04,2099-12-31
kok,0,None,language,Konkani,Konkani,Main spoken language Konkani,609094002,43531382,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
kom,0,None,language,Komi,Komi,Main spoken language Komi,970651000000106,46285410,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
kon,0,None,language,Kongo,Kongo,Main spoken language Kongo,970661000000109,46287225,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
kor,0,None,language,Korea,Korean,Main spoken language Korean,407655000,4250124,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
kos,0,None,language,Kosrae,Kosraean,,No matching concept,0,None,,,2024-06-04,2099-12-31
kpe,0,None,language,Kpelle,Kpelle,,No matching concept,0,None,,,2024-06-04,2099-12-31
krc,0,None,language,Karatšai-balkaari,Karachay-Balkar,,No matching concept,0,None,,,2024-06-04,2099-12-31
krl,0,None,language,Karjala,Karelian,,No matching concept,0,None,,,2024-06-04,2099-12-31
kro,0,None,language,Kruu keeled,Kru languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
kru,0,None,language,Kuruhhi,Kurukh,,No matching concept,0,None,,,2024-06-04,2099-12-31
kua,0,None,language,Kvanjama,Kuanyama; Kwanyama,Main spoken language Kuanyama,970681000000100,46285411,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
