source_code,source_concept_id,source_vocabulary_id,source_code_type,source_code_description,source_name_eng,target_concept_name,target_concept_code,target_concept_id,target_vocabulary_id,target_domain,target_concept_class_id,updated_date,valid_end_date
peo,0,None,language,Vanapärsia,"Persian, Old (ca. 600-400 B.C.)",,No matching concept,0,None,,,2024-06-04,2099-12-31
per,0,None,language,Pärsia,Persian,Main spoken language Farsi,395108007,4191849,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
phi,0,None,language,Filipiini keeled,Philippine languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
phn,0,None,language,Foiniikia,Phoenician,,No matching concept,0,None,,,2024-06-04,2099-12-31
pli,0,None,language,Paali,Pali,Main spoken language Pali,970881000000104,46285423,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
pol,0,None,language,Poola,Polish,Main spoken language Polish,315579002,4153319,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
pon,0,None,language,Poonpei,Pohnpeian,,No matching concept,0,None,,,2024-06-04,2099-12-31
por,0,None,language,Portugali,Portuguese,Main spoken language Portuguese,315580004,4152251,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
pra,0,None,language,Praakriti keeled,Prakrit languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
pro,0,None,language,Vanaprovansi (1500. a-ni),"Provençal, Old (to 1500);Occitan, Old (to 1500)",,No matching concept,0,None,,,2024-06-04,2099-12-31
pus,0,None,language,Puštu,Pushto; Pashto,Main spoken language Pushto,970911000000104,46287103,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
que,0,None,language,Ketšua,Quechua,Main spoken language Quechua,698677008,44782514,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
raj,0,None,language,Radžastani,Rajasthani,,No matching concept,0,None,,,2024-06-04,2099-12-31
rap,0,None,language,Rapanui,Rapanui,,No matching concept,0,None,,,2024-06-04,2099-12-31
rar,0,None,language,Rarotonga,Rarotongan; Cook Islands Maori,,No matching concept,0,None,,,2024-06-04,2099-12-31
roa,0,None,language,Romaani keeled,Romance languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
roh,0,None,language,Romanši,Romansh,Main spoken language Romansh,698917001,44782904,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
rom,0,None,language,Mustlaskeel,Romany,Main spoken language Romany,718512007,36713602,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
rsl,0,None,language,Vene viipekeel,Russian Sign Language,Main spoken language Russian,315582007,4151758,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
rsl,0,None,language,Vene viipekeel,Russian Sign Language,Russian sign language,704569006,45771444,SNOMED,Language,Qualifier Value,2024-06-04,2099-12-31
rum,0,None,language,Rumeenia,Romanian; Moldavian; Moldovan,Main spoken language Romanian,698678003,44784514,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
run,0,None,language,Rundi,Rundi,Main spoken language Rundi,698679006,44784515,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
rup,0,None,language,Aromuuni,Aromanian; Arumanian; Macedo-Romanian,,No matching concept,0,None,,,2024-06-04,2099-12-31
rus,0,None,language,Vene,Russian,Main spoken language Russian,315582007,4151758,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
rut,0,None,language,Rutuli,Rutul,,No matching concept,0,None,,,2024-06-04,2099-12-31
sad,0,None,language,Sandave,Sandawe,,No matching concept,0,None,,,2024-06-04,2099-12-31
sag,0,None,language,Sango,Sango,Main spoken language Sango,698918006,44782905,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
sah,0,None,language,Jakuudi,Yakut,,No matching concept,0,None,,,2024-06-04,2099-12-31
sai,0,None,language,Lõuna-Ameerika indiaani keeled,South American Indian languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
sal,0,None,language,Sališi keeled,Salishan languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
sam,0,None,language,Samaaria aramea,Samaritan Aramaic,,No matching concept,0,None,,,2024-06-04,2099-12-31
san,0,None,language,Sanskriti,Sanskrit,Main spoken language Sanskrit,970921000000105,46285424,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
sas,0,None,language,Sasaki,Sasak,,No matching concept,0,None,,,2024-06-04,2099-12-31
sat,0,None,language,Santali,Santali,,No matching concept,0,None,,,2024-06-04,2099-12-31
scn,0,None,language,Sitsiilia,Sicilian,,No matching concept,0,None,,,2024-06-04,2099-12-31
sco,0,None,language,Šoti,Scots,,No matching concept,0,None,,,2024-06-04,2099-12-31
sel,0,None,language,Sölkupi,Selkup,,No matching concept,0,None,,,2024-06-04,2099-12-31
sem,0,None,language,Semi keeled,Semitic languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
sga,0,None,language,Vanaiiri (900. a-ni),"Irish, Old (to 900)",,No matching concept,0,None,,,2024-06-04,2099-12-31
sgn,0,None,language,Viipekeeled,Sign Languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
shn,0,None,language,Šani,Shan,,No matching concept,0,None,,,2024-06-04,2099-12-31
sid,0,None,language,Sidamo,Sidamo,,No matching concept,0,None,,,2024-06-04,2099-12-31
sin,0,None,language,Singali,Sinhala; Sinhalese,Main spoken language Sinhala,408518007,4252377,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
sio,0,None,language,Siuu keeled,Siouan languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
sit,0,None,language,Hiina-Tiibeti keeled,Sino-Tibetan languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
sla,0,None,language,Slaavi keeled,Slavic languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
slo,0,None,language,Slovaki,Slovak,Main spoken language Slovak,698920009,44782907,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
slv,0,None,language,Sloveeni,Slovenian,Main spoken language Slovenian,698921008,44782908,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
sma,0,None,language,Lõunasaami,Southern Sami,,No matching concept,0,None,,,2024-06-04,2099-12-31
sme,0,None,language,Põhjasaami,Northern Sami,Main spoken language Northern Sami,970811000000106,46285418,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
smi,0,None,language,Saami keeled,Sami languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
smj,0,None,language,Lule Saami,Lule Sami,,No matching concept,0,None,,,2024-06-04,2099-12-31
smn,0,None,language,Inari Saami,Inari Sami,,No matching concept,0,None,,,2024-06-04,2099-12-31
smo,0,None,language,Samoa,Samoan,Main spoken language Samoan,698680009,44784516,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
sms,0,None,language,Koltasaami,Skolt Sami,,No matching concept,0,None,,,2024-06-04,2099-12-31
sna,0,None,language,Šona,Shona,Main spoken language Shona,395110009,4216337,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
snd,0,None,language,Sindhi,Sindhi,Main spoken language Sindhi,698919003,44782906,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
